id,policy,seed,success,steps,coverage,density,unique_visited,targets_found,efficiency,turns,collisions,revisits,max_cell_visits,avg_visits_per_cell,avg_info_gain,turn_rate,collision_rate,max_steps_without_new_info
c62b47b7-e3f6-4713-bab2-d2775f749d32,globalutilityfrontierexploration,79490,False,1000,32.2,78.24,830,0,0.83,255,0,0,0,0,0,0,0,0
29dcbcf4-fcb5-49d0-9bf1-c2c51454751d,frontier,79490,True,130,5.57,78.24,122,1,0.938,35,0,0,0,0,0,0,0,0
46cda0ea-9ce2-4a4a-aafd-e018f48f1f3e,globalutilityfrontierexploration,84273,True,297,11.49,78.95,281,1,0.946,71,0,0,0,0,0,0,0,0
eef28971-d26b-49fe-ae3c-86a74e90f785,frontier,84273,True,311,14.09,78.95,304,1,0.977,69,0,0,0,0,0,0,0,0
c9946a57-e166-41d2-b299-a849a5847573,globalutilityfrontierexploration,97995,True,704,23.06,77.5,594,1,0.844,166,0,0,0,0,0,0,0,0
46dbdfb0-2c47-495f-bc16-49cbac430917,frontier,97995,True,752,27.83,77.5,716,1,0.952,174,0,0,0,0,0,0,0,0
2086c2de-1eab-4459-a0d7-f2f82a9c641e,globalutilityfrontierexploration,44125,True,425,16.63,78.35,391,1,0.92,93,0,0,0,0,0,0,0,0
c6314e6d-09af-4cae-a18f-73b897043430,frontier,44125,True,173,9.37,78.35,173,1,1.0,40,0,0,0,0,0,0,0,0
ded42630-fccf-4364-a067-4521cd669e0a,globalutilityfrontierexploration,94781,True,647,26.31,76.61,607,1,0.938,136,0,0,0,0,0,0,0,0
f069d723-16a9-4275-a7e4-dfe11b4e9419,frontier,94781,True,257,11.35,76.61,251,1,0.977,61,0,0,0,0,0,0,0,0
fd066217-e79e-45d7-ae8f-61c6558cc32e,globalutilityfrontierexploration,58650,True,535,16.99,77.95,445,1,0.832,132,0,0,0,0,0,0,0,0
a7903e9f-005f-4dbd-9c84-23ed64779cc6,frontier,58650,True,455,15.78,77.95,411,1,0.903,111,0,0,0,0,0,0,0,0
7c4e2280-3a11-41c2-b03f-170a2a4347f0,globalutilityfrontierexploration,89812,True,180,9.2,78.23,171,1,0.95,32,0,0,0,0,0,0,0,0
605cb66d-4aff-407a-a0e1-43a5b3483aa4,frontier,89812,True,113,5.79,78.23,114,1,1.009,18,0,0,0,0,0,0,0,0
